organização,nome,estrelas,data_criação,última_atualização,total_issues,pull_requests_aceitas,total_releases,linguagem,descrição,forks
facebook,create-react-app,102873,2016-07-17T14:55:11Z,2024-12-09T20:55:48Z,2273,3808,83,JavaScript,Set up a modern web app by running one command.,26895
facebook,docusaurus,57082,2017-06-20T16:13:53Z,2024-12-09T23:27:37Z,339,6178,148,TypeScript,Easy to maintain open source documentation websites.,8601
facebook,lexical,20091,2020-12-03T22:53:26Z,2024-12-09T20:47:47Z,521,4089,52,TypeScript,"Lexical is an extensible text editor framework that provides excellent reliability, accessibility and performance.",1717
facebook,prophet,18601,2016-11-16T01:50:08Z,2024-12-09T15:49:23Z,428,462,18,Python,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear growth.,4547
facebook,relay,18429,2015-08-10T22:09:16Z,2024-12-09T11:06:40Z,698,2433,86,Rust,Relay is a JavaScript framework for building data-driven React applications.,1831
facebook,flipper,13371,2018-04-12T16:47:36Z,2024-12-09T08:45:41Z,507,3925,332,TypeScript,A desktop debugging platform for mobile developers.,954
facebook,hermes,9959,2018-10-22T19:13:00Z,2024-12-09T21:06:46Z,165,735,23,C++,A JavaScript engine optimized for running React Native.,646
facebook,stylex,8441,2022-12-08T06:38:09Z,2024-12-09T14:26:30Z,82,306,0,JavaScript,StyleX is the styling system for ambitious user interfaces.,310
facebook,litho,7712,2017-01-27T03:59:11Z,2024-12-09T21:47:04Z,92,539,54,Kotlin,A declarative framework for building efficient UIs on Android.,763
facebook,pyre-check,6881,2017-11-10T17:31:36Z,2024-12-09T21:14:18Z,156,453,12,OCaml,Performant type-checking for python.,436
microsoft,TRELLIS,2533,2024-12-02T05:44:19Z,2024-12-09T23:46:04Z,26,0,0,Python,"Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"".",118
microsoft,Reducio-VAE,152,2024-11-01T07:41:01Z,2024-12-09T15:02:26Z,6,0,0,Jupyter Notebook,,4
microsoft,ai-dev-gallery,138,2024-11-06T19:01:36Z,2024-12-09T23:16:33Z,13,28,0,C#,An open-source project for Windows developers to learn how to add AI with local models and APIs to Windows apps.,15
microsoft,Agents,67,2024-11-04T18:46:37Z,2024-12-09T16:55:02Z,0,6,0,,"The Microsoft 365 Agent SDK simplifies building full stack, multichannel, trusted agents for platforms including M365, Teams, Copilot Studio, and Webchat.",10
microsoft,CogACT,66,2024-11-26T05:28:40Z,2024-12-09T14:42:54Z,1,0,0,Python,A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,1
microsoft,MarS,48,2024-10-28T09:05:46Z,2024-12-09T23:31:00Z,0,0,0,Python,MarS: a Financial Market Simulation Engine Powered by Generative Foundation Model,5
microsoft,micronaire,45,2024-09-27T18:15:41Z,2024-12-03T05:51:19Z,8,4,0,C#,A RAG evaluation pipeline for Semantic Kernel,6
microsoft,vscode-data-analysis-for-copilot,26,2024-10-07T20:49:53Z,2024-12-03T06:31:02Z,2,66,13,TypeScript,,9
microsoft,vscode-mermAId,24,2024-10-08T00:08:36Z,2024-12-04T18:10:30Z,6,81,33,TypeScript,Exploration into Copilot Chat-powered Diagram Generation,1
microsoft,ai-developer,23,2024-10-18T13:25:43Z,2024-12-07T02:23:51Z,0,3,0,C#,This repository contains hackathon challenges for Semantic Kernel.,19
google,gemma.cpp,6029,2024-02-13T04:36:03Z,2024-12-09T18:29:57Z,16,357,3,C++,"lightweight, standalone C++ inference engine for Google's Gemma models.",516
google,gemma_pytorch,5313,2024-02-20T17:53:21Z,2024-12-09T06:27:50Z,5,29,0,Python,The official PyTorch implementation of Google's Gemma models,512
google,RB-Modulation,345,2024-08-24T00:28:31Z,2024-12-07T23:45:50Z,5,0,0,Jupyter Notebook,"Official code for ""RB-Modulation: Training-Free Personalization of Diffusion Models using Stochastic Optimal Control""",27
google,gwpsan,309,2024-05-28T21:13:43Z,2024-12-03T22:19:10Z,0,32,0,C++,GWPSan: Sampling-Based Sanitizer Framework,9
google,slang-gaussian-rasterization,290,2024-08-13T08:51:45Z,2024-12-07T19:18:53Z,1,0,0,Python,,4
google,imageinwords,202,2024-03-06T03:30:17Z,2024-11-27T17:49:57Z,2,0,0,JavaScript,Data release for the ImageInWords (IIW) paper.,9
google,alioth,169,2024-04-25T02:06:33Z,2024-12-09T20:29:07Z,4,192,3,Rust,Experimental KVM-based type-2 hypervisor in Rust implemented from scratch.,11
google,vanir,138,2024-08-07T19:04:05Z,2024-12-09T22:24:21Z,1,3,0,Python,"Vanir is a source code-based static analysis tool that automatically identifies the list of missing security patches in the target system. By default, Vanir pulls up-to-date CVEs from Open Source Vulnerabilities (OSV) together with their corresponding signatures so that users can transparently scan missing patches for an up-to-date list of CVEs.",9
google,zimtohrli,138,2024-03-15T07:49:05Z,2024-11-28T12:27:45Z,1,129,0,Jupyter Notebook,,5
google,jpegli,136,2024-05-29T06:02:51Z,2024-12-08T12:33:44Z,19,56,0,C++,,13
